UUID,total_time
82ef134c-f98e-472d-ae89-1260ca262f3a,237
4e22e93c-31bf-4096-a988-98a79f2b1bec,35
606e37a6-d2ff-4f5a-bdae-2b99d8fd5c79,35
19332a3f-8a08-409b-889a-0c5ec217ddf6,35
981f460a-30ea-4a98-b6ea-44aa7b347b5e,29
8fcb9740-776e-4ff4-9792-12c2a7922b63,26
e800735e-fbea-4e96-b2de-7dfbbfbf392e,21
27457060-a22c-4e6d-8fdd-2d2a962aa2e8,18
ac578a89-65b4-4aea-ac35-c1a0b8e863d3,17
1065605f-935f-488f-91d2-c892c8b5db67,17
334eadb0-036c-4341-b65c-661e277e37da,17
f6719d5c-a579-4de3-810b-39d04b3accdc,16
9f26ae47-6592-48bb-a2ad-fcfec391df58,16
3826bf99-8d42-481d-8d2b-f74020b81e30,16
c96fbfef-303c-4085-8801-25eb45b8335f,16
4bac6d1b-f0a1-4881-a85c-52320b8549b9,16
cdb5e087-c908-4835-85f4-355a5d188f24,16
b681b4f7-8621-47b3-8ea4-c196df78d438,15
4e1ba265-46be-4215-9f56-830aabcbb8f9,13
f56414df-fe4d-4c09-b271-b2b67e349a46,12
d775ef69-5f29-47cc-a34c-9208a6eb3ea4,10
caf61209-615a-4f62-a01d-820ed81afa17,10
8b4f8fc6-e8ea-4911-b0f2-663f3550b0e4,10
44200d9a-68ff-4bf0-820b-a05a66a48464,10
1e35b986-f718-4ca9-aafb-75e9efd94a09,9
6c635acc-d116-4904-a425-c788e8080eaf,9
50b5b050-623f-4ac1-a6f2-4f844c92489e,9
d7ee1228-19f3-4498-9e45-047b4da96123,9
c0d0f332-dbe2-4231-a920-3fe9248ae914,9
b4d076e6-5aff-4676-a25b-099c85549494,9
9b456e2d-df6c-4c4e-9c21-dd715100b28a,9
a9ca4306-6c58-476a-9c58-64d975306145,9
e5de196e-9729-42f4-a7ba-361d6c5cd30d,9
a1fc2619-2c1b-445e-8b07-227999cfeef1,9
5a48a5b5-66d3-4eb7-9473-5cdae52a9d54,9
81eb150e-e4da-4615-b1b3-d0557b01e5e5,9
c6193b64-d8cb-410b-a080-cd1dc63cb313,9
ca348f89-f09a-4ae4-9ecc-9640230b73b2,9
e60c8f2b-a92e-49f5-b6f5-e78ef375292d,9
3873e030-83e0-4503-b0a5-b952397368ce,9
c1dd2635-e92e-4229-a8bb-ee359c67b7d5,9
cc864850-aaea-4c26-9dbb-2939ee246190,9
bfb90b49-01ac-4e84-bab4-b29ae4533cd1,9
739a4edd-162b-4ee7-8b8b-32aac52966c9,9
47440baf-a642-40ee-82a0-0dc49305c9aa,9
3fe9aed5-517f-4266-a526-5d70a7624f87,9
46b3b0f9-e542-4403-9439-93111cb5471c,9
9722f229-7551-4ebd-b9fc-3aeb0f00152b,9
5e784855-9e86-4ce9-81db-ae7486238d0b,9
0a2e9198-5391-4f1d-935e-38e98f21771d,9
a34e0297-4a92-4d7e-82e8-abc81af16dce,9
7f2aa8fb-5a93-4096-94d5-5c76986ed581,9
85d4f02f-a8da-4a0a-b634-fb160ecc8833,9
90785808-7631-4029-96d8-2f81d0020871,9
6a14916f-377c-454d-a129-ba6bcc720e25,9
7aabee76-2723-4700-bb9a-7c01d0dc63ea,9
1d23a23a-8f73-4260-bcb3-cf43c6cbb82b,9
b8bddc95-a16e-4e90-ba53-35cf31a09975,9
46afa153-804c-4287-85ec-4d35ea996906,9
e0a328af-9562-486a-80cc-bfe411fc44b1,9
1d975b6f-b2a6-4349-8b18-acd5ac5b8ec7,9
67a43aaa-f51c-40aa-824a-8d4993fddebc,9
21db2882-8f97-4b7c-b48d-dfdbe9df62a5,9
69def0cd-0bd6-46a5-a3e6-4e0d430d893f,9
53cb34b0-638f-408e-b5e9-5d0b5cdd0443,9
cec357f0-bf65-4d97-8224-7bdf8a683d0a,9
8f61652a-04f9-42be-891f-aec130a4cf7b,9
ebb3dfb4-53e6-47b6-8bb0-29f0d8b09adf,9
5ffd8daf-6bc4-4618-b868-b46816cb04f7,9
3a5029df-7e6b-4889-8f39-77034841c810,9
8f060499-7e55-480f-acf8-37ba803c9d86,9
d62f24ad-52c6-4979-b732-a9af224dbc56,9
fd9c0d92-2166-40db-ba90-0c5b52ac0020,9
d872afdb-b23e-49b7-8543-3eb17c838054,9
90a31259-0880-41e2-b652-4ac48319cd0e,9
c349c2cd-24fe-4b9f-a324-1c831be7788c,9
a3372730-a683-4830-b9fb-9fa0c05517fd,9
a48c20a1-522d-4dd8-a674-5eb7777d0686,9
c1588dc9-020a-4502-b575-28eea86069e2,9
6feff651-924c-45db-90e3-80eb695446da,8
6e1a7f15-b0dc-4c73-b62a-5ff2c116ddc9,8
c6bf1528-6e64-4926-afb0-455f75830b09,8
a1c8acbe-dd52-4e39-b27f-0ddb32fe3c0c,8
07ddb58a-bb2b-476e-9b1e-68fd941d8ca8,8
30372d0c-0804-4fe7-84df-db63e875145b,8
f442cd3e-99b9-4456-a6bc-ee216e904e82,8
2dbd4fe6-0cd3-4ba7-b0a1-847b1b35df06,8
ed24e58e-3cab-4736-9bb1-403782d9e6bd,8
db5eea6f-9c35-4b74-a06d-751a9a721751,8
ec0eecaf-6662-422b-bca9-850200d3742f,8
b282fef8-697f-430f-b015-756022e1e1b1,8
4d3de357-2f16-4f7e-af3b-c6c823bcf123,8
1afc271d-20cc-4237-8e10-ee3ec2c72d17,8
481bdf22-ca24-494f-b7b8-582da0aec5ea,8
eabc0ae1-e78f-46fa-8493-8d4e6678f02c,8
ad64bdff-1059-4021-b6b5-6344611ccbcc,8
a702794c-050e-4c2c-bcc0-55d003f39db1,8
69fca99c-c46a-46b6-9a8f-b587f01f40b1,8
86df6d95-ec0d-48da-9513-1d66078b7711,8
d287bf5c-bea7-41da-8ca2-1bb53fa81c04,8
9b47684a-4bca-4e09-ac95-731402399414,8
d759912b-bed4-46cd-9de7-4b60bd7c82df,8
e47c326a-5f69-4df7-b8b1-f29bd28fa476,8
29cefc0e-c96e-4bd1-8528-303e00c71fa3,8
a47f2a9b-1cf2-47ef-a840-aa452480e407,8
2ddcab4a-3c2c-45ec-81d9-994823cc28ae,8
6b33655f-b673-4434-b1eb-e5ba3cc6b763,8
8772cb6d-a1d5-4244-9f2b-e2d34604133b,8
1af99491-1065-4e5a-93e6-e32dce43dc64,8
90715a8b-fb5a-46b7-aa62-40720de5bb03,8
6d4d5477-a1d6-4f5e-a0cb-0e9526c7a43d,8
15daaeea-db13-4816-8228-548b65f1282e,8
b0f5b421-1cd4-4146-8ca8-dd45b6e77349,8
32c2be03-f362-458c-aabd-c0812478f9fa,8
a81c7d2a-af34-4d81-9db0-04373eb9e7c6,8
a4bb2a2a-63da-4d14-8964-f7c37cd4677c,8
189d3f00-c02d-4bd5-a7ea-0d0bd29a3058,8
695197ef-1fc9-47b4-a454-0f42ba1d4412,8
cd331d85-6d2e-44de-aa0d-27744f45ac63,8
f9300077-d428-45e1-bf31-b8affd14adc4,8
603852bb-2648-47b3-b354-bc280aa20609,8
0886d4b3-54cd-4ef7-820c-0786efbc87dd,8
bb10b5a7-41ce-4c02-8bde-aa1ff7194293,8
229033e1-da73-478d-bb29-cf4ae19ac754,8
